diamond-matrix,金刚石方窗,noun,,如果上下文描述它是 round，改成圆窗。就地灵性调整，诸如此类
Diktat,辛达,noun,,用作辛达强权的简称时这么翻译。在其他情况下，则翻译为 敕令/宣言/通告/通牒 之类的词
Director of Special Acquisitions,特殊采购部总监,noun,,
Distress Call,求救呼号,noun,,一种主动能力，困在边缘星区的时候可以用它叫人过来
Domestic Security,内部安全部,noun,,英仙座联盟的部门，DomSec缩写为内安部
DomSec,内安部,noun,,domestic security缩写
drive bubble,驱动泡,noun,,由一只舰队中所有船只产生的drive field融合产生大范围驱动场。
drive field,驱动力场,noun,,
drone warship,无人战舰,noun,drone warships,
ECM rating,电子战强度,noun,,
Emergency Burn,紧急加速,verb,e-burn,常缩写为e-burn
EMP damage,EMP 损害,noun,,避免使用 EMP 伤害 这个说法
Enforcer,执法者,noun,,旧称：压迫者
entry,条目,noun,entries,用作数据百科相关机制或说明式文本时如此翻译，其它情况自行变通，注意 入口 也是 entry
Eridani-Utopia Terraforming Corporation,天苑四-乌托邦地貌改造集团,noun,Eridani-Utopia Corporation,
EVA,舱外活动,noun,,
Excubitor,教廷哨卫,noun,,
Excubitor Orbis,行星教卫,noun,,卢德教会的官职，类似一个星球的最高审判长
executive council,执行委员会,noun,,Laicaille栖息地的政体
Executor,首长,noun,,作为辛达强权的官职名时，译作首长。作为其它势力官职或船名时，译作执行官
experiment,实验,noun,experimentation,不是试验
Expertise,专长,noun,,让 Mastery 与 Expertise 以及 Specialization 互相区别
Explorarium,开拓者,noun,,设计类型
Fabrique Orbitale,轨道工厂制造公司,noun,,企业名
faction,势力,noun,,除特殊情况，尽可能不用派系
fellow demarch,民选统领,noun,fellow demarchon,统领的另一种叫法，用于强调属于英仙座联盟的一部分
fighter bay,战机甲板,noun,"fighter bays
fighter launch bay
fighter launch bays",
fighter LPC,战机 LPC,noun,fighter LPCs,
fighter replacement rate,战机整备率,noun,replacement rate,注意，原文有两种意思混用，必须根据实际情况决定用 战机整备率 还是 战机整备速度
flag ship,旗舰,noun,flagship,不是座舰 (Piloted Ship)
Fleet Intelligence,舰队情报部,noun,,
flight deck,飞行甲板,noun,flight decks,
flux,幅能,noun,,不是辐能或者别的什么东西
flux vents,耗散通道,noun,flux vent,
free port,自由港,noun,free ports,
freelancer,自由佣兵,noun,,
freelancers,自由佣兵,noun,,暂定
Fringe,边缘星区,noun,,对应“核心星区”，若原文采取的事类似于“the Fringe”这样的正式称法便统一翻译为“边缘星区”，其他情况可按照具体语境进行翻译
fringe ideologies,小众意识形态,noun,,用于寻找院士任务前往Cavin住处的那几段
Fusion Lamp,聚变射灯,noun,,
Galatia Academy,Galatia 学院,noun,,
Galatia Academy Station,Galatia 学院空间站,noun,,
gas giant,气态巨行星,noun,,五个字，不是气态巨星
Gate Hauler,星门运输舰,noun,Gate Haulers,一种超级巨舰，用来搬运星门
Gate scanner,星门扫描仪,noun,,
Gen,氏族,noun,,
Gens,氏族,noun,,
gens Kato,Kato 氏族,noun,,
gens Yaribay,Yaribay 氏族,noun,,英仙座联盟的政治巨头，Kazeron 上三大家族企业之一
global market,全星域市场,noun,,在合适的地方可以适当简写为：星域市场，诸如此类
Grand Star Marshal,星际元帅,noun,,辛达强权最高元首 Andrada 的称呼之一。在辛达强权里，这个职务是由最高元首兼任的，作为特指。
Graviton Beam,引力子束,noun,,旧称：引力子激光
gravity well,重力井,noun,,
Gryphon,狮鹫,noun,,旧称：鹰头狮
Guard High Deputy Executor,卫队最高副首长,noun,,狮心卫队一把手，Horacio Caden。狮心卫队的最高首长由最高元首兼任。
Guayota's Disk,Guayota 吸积盘,noun,,新Maxios附近的地形，位于Magec星系
"Hammer in one hand, sword in the other",一手持锤，一手执剑,noun,,卢德骑士团的箴言
hazard pay,危险津贴,noun,hazard bonus,
hazard rating,危险等级,noun,,
HEGCOM,HEGCOM,noun,,霸主部门，Hegmony Commucation。霸主通讯部
hegemony,霸主,noun,,类似春秋五霸的团体形态，选王霸之道中的霸道治国。请不要翻译成霸权主义
HEGINT,HEGINT,noun,,霸主部门，Hegmony Intelligance。霸主情报部
heretic,异端,noun,heretics,"大多数口语或其他情况用异端，用作形容词时用异端行为。然而由于你游的描述问题，它的使用和 ""异教徒"" 语义严重混淆，需要区别在描述信非卢德者的情况下只能用异教徒"
High Hegemon,至高霸主,noun,,
high tech,扩展纪元,noun,high-tech,
hit strength,穿甲力,noun,,
hive,巢区,noun,hives,地下殖民地的行政单位，规模接近省和州。也可指代地下殖民设施本身。建设于地质活动不过分强烈的星球地底，抵御强辐射和微流星轰击等恶劣宇宙天相的影响。推测是由多个居住单元组成
hivescum,巢区帮派,noun,hive-scum,活跃于地下殖民地的黑帮。类似现代街头帮派的未来版。有对应的亚文化衍生。
holding pattern,等候界面,noun,,通讯器连接请求发送后等待对方接听时显示的界面。通常会显示表明接听方身份的相关信息，如势力徽章或家族/舰队标识。
holorec,全息录像,noun,,应该是 hologram + record
Holy Cathedral of Exodus,Exodus 神圣大教堂,noun,Cathedral of Holy Exodus,一个特定地名。位于 Exodus 星系
Holy Ecumene Council of Archcurates,圣枢机议廷,noun,,
Holy Ludd,圣卢德,noun,,
Holy Presbyteriat,至圣长老,noun,,
hull,船体,noun,hulls,一般来说，ship 翻译为舰船，其他例如 vessels/hulls 则翻译为船只、船体等其他词语
hull integrity,船体结构值,noun,,用作数据时如此翻译，用作其他情况需要就地灵活翻译，比如 船体完整性
hull size,船体级别,noun,size of the ship,
hullmod,舰船插件,noun,hullmods,在上下文充足的情况下可以简化为 插件 来描述。但是不可以使用 船插 这一简称
hydrocarbon,烃类物质,noun,hydrocarbons,
hyperdrive,超空间引擎 / 超空间驱动,noun,,指物体时译作引擎，与其它词合用时译作驱动，例如超空间驱动力场
Hypershunt Tap,超分流阀门,noun,,
Hyperspace Topography,超空间测绘,noun,,一个机制，并不是地图学
Hyperwave,超波,noun,,
Ibrahim Interstellar Transport and Salvage,Ibrahim 星际运输与打捞公司,noun,,小型剧情势力
ice gaint,冰态巨行星,noun,,
Independent,非势力团体,noun,Independents,用作势力名时如此翻译，其他情况下就地意译，比如独立之类的
independent world,独立世界,noun,independent worlds,由非势力团体掌握的星球
Ineffablist doctrine,不可言传派,noun,,
inquisitor,审判官,noun,,教会官职
instrument package,仪器套件,noun,,
INTSEC,INTSEC,noun,Internal Security Ministry,辛达强权部门，以简称出现的时候不做翻译，以全称出现的时候翻译为：内部安全部
Janus Device,"""双面神""装置",noun,,
jump-point,跳跃点,noun,jump-points,用于进出超空间的通道
junior officer,下级军官,noun,,
junior officers,下级军官,noun,,
Kallichore Archive,Kallichore 的档案,noun,,主线任务分支1
Kanta's Den,Kanta 之巢,noun,,地名
Knight Initiate,新晋骑士,noun,"Knight-Initiative
Knight Initiative
Knight-Initiate",
Knights of Ludd,卢德骑士团,noun,,
Ko Combine,Ko 联合实业,noun,,o是小写
L4,L4 稳定点,noun,,拉格朗日点里的一种
Laicaille Habitat,Laicaille 栖息地,noun,,
Laicalle Habitat, Laicaille 栖息地,noun,,
League Council,联盟理事会,noun,,
lieutenant,上尉,noun,,大部分情况如此，请根据具体语境使用
light-year,光年,noun,light-years,某种特指的航行距离单位
Lion of Sindria,辛达瑞亚之狮,noun,,辛达强权领袖的称号之一
Lion's Guard,狮心卫队,noun,,
Lion's Guard Grand Armada,狮心卫队大无敌舰队,noun,,
logistics officer,后勤官,noun,,
low tech,主宰纪元,noun,low-tech,
Ludd,卢德,noun,,
Luddic Church,卢德教会,noun,,
Luddic faithful,卢德信徒,noun,,
Luddic Path,卢德左径,noun,,口语这么翻译。但是作为书面语或者宗教意义上的介绍时，要翻译为 卢德循径派
malfunction,故障,noun,malfunctions,用作战斗内术语时，代指舰船 CR 过低时产生的各种问题
Mammon,恶魔玛门,noun,,双子恶魔之一，卢德教会用语。象征拜金。
Mammonite,玛门之仆,noun,,必要时可以翻译成 拜金教徒 保证语气通顺
mass-driver,质量投射器,noun,"mass driver
mass drivers",建设于行星地表的线性电磁力轨道发射装置，通常用于将工业规模的物料投送到轨道或星系内的其他行星
Mastery,精通,noun,,让 Mastery 与 Expertise 以及 Specialization 互相区别
Mbaye-Gogol,姆巴耶-果戈尔,noun,,企业名
med chief,医疗主管,noun,chief medical officer,玩家舰队里的专业人士
microsat,微型卫星,noun,,
midline,核心纪元,noun,,
militant,武装成员/武装分子,noun,,教会和左径的军事人员，根据语境酌情选择翻译
MINEX Establishment Act,MINEX 创立法案,noun,,
Ministry of Technology Standards,科技标准部,noun,,
Moloch,恶魔摩洛克,noun,,双子恶魔之一，卢德教会用语。象征伪神异端
moon,卫星,noun,,
mote,光尘,noun,,
Mother Church,教会母亲,noun,,for Mother Russia !
move slowly,缓速航行,noun,"move very slowly
slow-moving
moving slowly",用作舰队术语时如此翻译，其他情况下不如此翻译
Mundanians,世俗派,noun,,
MuniSec,地方安全部,noun,,还是说殖民地安全部好一点？
nanoforge,纳米锻炉,noun,nanoforges,
nanoforge production slots,纳米锻炉生产订单,noun,,
nascent gravity well,亚临界重力井,noun,,星球级别的重力井，但没有达到形成跳跃点的程度
Nav Buoy,导航浮标,noun,Nav buoys,或航标
nav data,导航数据,noun,,
nav rating,导航效率,noun,,
Navarch,海军都统,noun,,英仙座联盟的舰队指挥官
Navigation,导航,noun,,看情况译作领航官，领航军官的不太正式的简称
navigation officer,领航军官,noun,nav officer,玩家舰队里的专业人士
Neutrino Detector,中微子探测器,noun,,
Nexus,中枢,noun,,余晖空间站名称
novice,见习修士,noun,,如果和卢德教会有关，才这么翻译
omega,欧米伽,noun,,不是欧米茄。作为 AI 核心等级时不翻译，但在 AI 神神叨叨的念 '你是不是欧米伽' 时又要翻译
Onslaught Mk.I,攻势 Mk.I,noun,,
open command frequency,打开指挥频道,noun,,
operations chief,行动长官,noun,"ops chief
ops",玩家舰队中的专业人士。口语称呼为 ops 时对应口语化翻译为 行动长
Orange Star,橙矮星,noun,,
Orbital Station,轨道站,noun,,
orbital works,轨道工业设施,noun,orbital work,
Orion Shipyards,猎户座船坞,noun,,
Pather,左径分子,noun,,正式名称为 卢德循径派。在自称或尊称时根据语境使用。
Pather Cell,左径狂信徒组织,noun,,
Pathers,左径分子,noun,,
Persean Sector,英仙座星域,noun,,
phase space,相位空间,noun,p-space,启动相位线圈（相位隐形）、相位切跃器（闪现）或相位传送器之后船只进入的高维空间。
Pilgrim's Path,朝圣者之路,noun,The Pilgrim's Path,
piloted ship,座舰,noun,,不是旗舰 (Flag Ship)
planet,行星,noun,planets,在描述文本里优先翻译为行星，在对话里视语境而异
planetkiller,行星杀手,noun,,0.96卢左任务线任务物品
portboss,港口老大,noun,,海盗空间站管理rank
Presbyter Orbis,行星教督,noun,,卢德教会的官职，类似一个星球的最高管理人员
Prime Demarchon,大统领,noun,,英仙座联盟的盟主
privacy field,私人力场,noun,,
Probe,探测器,noun,,
projectile speed,弹体飞行速率,noun,,
Provenance Supply Stock Combine,原产地供应库存联合公司,noun,,
Providence,上天,noun,,天意、上苍之类的东西，就地灵活翻译。强调往抽象化的概念去翻，与 Creator 对应。绝对不可翻译为上帝或者神这种偏向于具体个体的
Provost,院长,noun,,一般指Galatia学院的院长Baird
pseudo-AI,拟 AI,noun,,
PSSC,PSSC,noun,,原产地供应库存联合公司 的缩写
purser,事物长,noun,,
q-switch,Q开关,noun,q-switched,Q和开关之间不带空格，Q左边和开关右边带空格。也称巨脉冲发生器，是一种产生高能脉冲激光的技术。
Ragnar Complex,Ragnar 综合设施,noun,,
Ragnarok Complex,诸神黄昏集团,noun,,小公司
raid,劫掠,noun,,或其它什么不是“突袭”的说法。尽可能和突袭分开
Rare Ore Deposits,稀有元素,noun,"transplutonic ore deposits
transplutonic ore deposit
Rare Ore Deposit
Transplutonics",不是稀土矿床，大概是稀有元素藏匿点之类的东西
rate of fire,武器射速,noun,,
recoil,后坐力,noun,,属性，影响弹体散布
Remnant,余辉,noun,Remnants,不要写作 余晖
Remote Survey,远程调查,noun,,
resonance cascade,谐振级联反应,noun,,超空间原理部分
Reverend Archcurate,宗师大人,noun,Reverend Archurate,也是 大祭司 Jaspis 老奶奶的称号，但这次是尊称。可以酌情灵活翻译成“尊敬的宗师”、“那位宗师”或者之类的
s-mod,S-插件,noun,"s-mods
S-mod
S-mods",
Safety Overdrive,安全协议超驰,noun,,旧称：安全超载
salvage team,打捞小组,noun,,
saturation bombardment,饱和轰炸,noun,,
science officer,科学专家,noun,,
Sector,星域,noun,,
security chief,安全主管,noun,chief security officer,玩家舰队里的专业人士
Security code,安全码,noun,,
senior officer,上级军官,noun,senior officers,
Sensor,传感器,noun,Sensors,作为名词时，不要译成 感应器。也可能作为职位的简称，此时译成 传感器官
Sensor Array,传感器阵列,noun,,
Sensor Jammer,传感干扰器,noun,,
sensor profile,传感器截面,noun,,
sensor range,传感器探测范围,noun,,注意语境，仅适用于战斗外描述。在战斗内则就地灵活翻译
sensor strength,传感器探测强度,noun,,
sensors officer,传感器技官,noun,sensors officers,玩家舰队中的专业人士
Shift,星历日,noun,,本意为轮班。宇宙航行时一星历日轮值一班，因此常用来替代Day表示一天的时间
ship,舰船,noun,ships,一般来说，ship 翻译为舰船，请联系上下文灵活翻译。其他例如 vessels/hulls 则翻译为船只、船体等其他词语
ship size,舰船级别,noun,,但是，在插件描述里，翻译为 船体级别
Ship system,战术系统,noun,,舰船的技能
Shipping Disruption,运输中断,noun,,
shrine,圣地,noun,shrines,
Shrouded Substrate,渊幕基质,noun,,
shuttle,穿梭机,noun,shuttles,舰船配备的用于快速少量运送人员和物资的小型无武装航天器。可用于往返行星和空间站，也可进行武装突袭人员的运输
sidearm,随身武器,noun,,不要翻译成副武器
Sindrian Diktat,辛达强权,noun,,
Sindrian Mutiny,辛达兵变,noun,,辛达独立的事件
sleeper casket,休眠舱,noun,sleeper caskets,
slipstream,超空间滑流,noun,slipstreams,根据语境，也可简化为 滑流
spacer,宇宙民/太空佬/太空船员，根据上下文和褒贬性合理选择,noun,"spacers
Spacers
Spacer",包括船员、冒险者、小型舰长等，强调其“主要在太空谋生，做的事情都是诸如打杂之类、不怎么上档次”
Specialization,特化,noun,,让 Mastery 与 Expertise 以及 Specialization 互相区别
Spider of Sindria,辛达瑞亚之蛛,noun,,辛达强权内部安全部总指挥
sporeship,孢子母舰,noun,,
sporeships,孢子母舰,noun,,
stability,稳定性,noun,,
stable location,稳定点,noun,stable locations,那个可以造传感中继站和导航浮标的圆圈
Star Fortress,星际要塞,noun,,
Starforge,星际锻炉,noun,,通常指速子殖民地Culann
station king,空间站之王,noun,,海盗 rank
Stencor,石之角,noun,Stencor Corporation,
story point,故事点,noun,story points,
Strategic Assembly,战略指挥部,noun,,
subcurate,助理祭司,noun,subcurates,
substrate,基质,noun,,
SUPER ALABASTER,圣白石,noun,,机密科技水平代号
Supreme Executor,最高元首,noun,,辛达强权势力领袖Andrada的称呼之一
Tactical,战术官,noun,,若翻译为官职则统一采用该翻译
tactical bombardment,战术轰炸,noun,,
tactical officer,战术军官,noun,,玩家舰队中的专业人士
Tactistar,战术之星,noun,,速子科技相关殖民地敌对活动的雇佣兵集团
Tech,技术官,noun,,根据语境可以译为技官（舰载技术人员）或者科技造物（比较有那种后崩塌技术断代的氛围）
tech mining,技术挖掘,noun,,指挖坟回收古代科技，有相关殖民地建筑
tech officer,技术军官,noun,,玩家舰队中的专业人士
technicians,技术人员,noun,,或技术团队，视情况翻译
technological inspection,科技审查,noun,,
terraforming,地貌改造,noun,,
the Creator,造物主,noun,Creator,C 大写的时候才这么翻译。某种神的具象化概念，某种意义上与 Providence 对应。根据语境不同也可以自由发挥，比如“创造群星的主”之类的
the Domain,人之领,noun,"Domain
Human Domain",
the Path,圣道,noun,,在特定语境中统一采用该翻译，也可能是左径分子的简称，依照具体情况翻译
the Persean Hegemony of the Fourteenth Battlegroup,第十四战斗群英仙座霸主统摄政权,noun,,霸主的全称
Threat,威胁,noun,,0.98a-RC5 新增的深渊野怪势力/设计类型。另见开发日志：https://www.fossic.org/forum.php?mod=viewthread&tid=17682
top speed,最高航速,noun,,
Transplutonic Ore,稀有矿石,noun,Rare Ore,用作名词时译为矿石
transponder,应答器,noun,,
Transverse Jump,横轴跳跃,noun,,一种危险性极高的技巧，不借助跳跃点突入超空间或回到星系空间
Tri-Tachyon,速子科技,noun,tritachyon,
TriLink,TriLink,noun,,速子科技开发的英仙座流行社交软件，可能已经预装在TriPad上。两端记得带空格
TriPad,TriPad,noun,"tripad
Tripad
Tri-Tachyon PDA",速子科技出品的数据平板（及其它兼容仿制品）。使用原文不翻译，两端记得带空格
Tse Franchise Station,Tse 特许经营站,noun,,
turn rate,转向速度,noun,,
turret,炮塔,noun,turrets,
Ultradyne Askonia Combine,Askonia 超微力实业,noun,,辛达强权整的花活，一个负责舰船和武器设计的国企
venting,主动排幅,verb,"vent
vent flux
venting flux",用动词时翻译为主动排幅，用作名词时灵性就地翻译。通风口之类的东西也会用 vent 这个词
vessel,船只,noun,vessels,一般来说，ship 翻译为舰船，其他例如 vessels/hulls 则翻译为船只、船体等其他词语
Volturnian Lobster,蓝龙虾,noun,,
VP,副总裁,noun,,
walker,修行者,noun,,卢德教会相关用语，暂定
warlord,军阀,noun,,通常是海盗
Warning Beacon,警告信标,noun,,
waypoint,路径点,noun,waypoints,
world,世界/星球,noun,worlds,根据上下文选择世界或星球。自然行政单位，指一颗行星以及其上面的万物，偶尔也用于指代大型太空站等人造超结构物。如同州/省/大区一样，主要表示行星规模的行政区划分。
wormhole,虫洞,noun,wormholes,不是跳跃点，但和跳跃点有点关系
wormhole terminus,虫洞节点,noun,terminus,
Wrestling Sedge,Wrestling Sedge,noun,,人名
xenolife,异种生命,noun,,不知道包不包括人外娘，是吧
XIV Battlegroup,第十四战斗群,noun,,
Yellow Star,黄矮星,noun,,
[REDACTED],[数据删除],noun,,
主动传感器扫描,传感器扫描,noun,,一个主动技能
